日期,睡眠分,睡眠时长,深睡时长,REM时长,浅睡时长,睡眠效率,入睡耗时,就寝时间,起床时间,Readiness,RHR,HRV,体温偏移,活动分,步数
2026-02-22,,,,,,,,,,,,,,94,934
2026-02-23,38,1.12,0.42,0.03,0.67,52,22,01:49,03:58,62,67,37,,91,16980
2026-02-24,66,5.36,0.89,1.35,3.12,95,12,02:23,08:03,65,55,38,0.46,93,7014
2026-02-25,83,6.33,1.18,1.62,3.53,92,22,01:16,08:07,92,57,53,-0.17,88,10105
2026-02-26,69,4.55,1.48,1.16,1.91,91,21,03:21,08:19,84,59,39,0.13,83,5276
2026-02-27,84,7.41,2,1.78,3.62,93,10,00:32,08:31,76,61,37,0.17,83,6883
2026-02-28,82,7.17,1.71,1.75,3.71,93,14,00:39,08:23,81,58,42,0.02,83,8055
2026-03-01,73,5.9,1.29,1.09,3.52,94,6,00:30,06:47,74,57,33,0.03,89,11629
2026-03-02,76,5.8,1.24,1.52,3.03,92,10,01:11,07:29,73,56,49,-0.23,82,5311
2026-03-03,81,6.72,1.38,1.73,3.62,96,6,00:47,07:48,82,57,47,-0.23,84,13185
2026-03-04,66,4.79,1.07,1.51,2.22,94,16,03:14,08:21,76,55,56,0.18,87,9167
2026-03-05,84,6.84,1.42,2.02,3.41,94,12,01:11,08:28,85,57,49,-0.12,93,13601
2026-03-06,69,5.07,1.26,1.02,2.78,90,18,01:48,07:25,73,58,39,0.38,86,7412
2026-03-07,69,5.41,1.19,1.43,2.78,92,10,02:22,08:13,78,58,51,-0.15,86,8656
2026-03-08,74,5.97,1.18,1.68,3.11,94,8,02:08,08:28,68,63,42,0.18,88,13385
2026-03-09,73,5.83,1.26,1.41,3.17,96,6,02:04,08:08,71,61,35,-0.15,95,18251
2026-03-10,54,3.73,0.94,0.63,2.15,91,8,04:16,08:21,65,64,31,0.13,94,7334
2026-03-11,83,6.62,1.27,1.63,3.72,95,12,23:10,06:09,71,64,30,-0.24,92,9356
2026-03-12,58,2.86,0.86,0.73,1.27,84,9,05:07,08:31,60,62,38,-0.07,91,7825
2026-03-13,70,5.17,1.28,1.11,2.78,93,7,02:48,08:23,77,57,35,-0.09,92,9149
2026-03-14,78,6.62,0.96,1.67,4,93,14,00:26,07:34,75,54,57,-0.15,99,14064
2026-03-15,71,6.7,1.06,1.53,4.11,81,9,00:02,08:18,74,59,47,0.2,94,8152
2026-03-16,72,5.89,0.88,1.38,3.63,93,10,01:18,07:37,73,55,61,0.05,90,11182
2026-03-17,68,5.97,0.87,1.05,4.06,92,6,01:52,08:21,73,54,66,0.18,97,9570
2026-03-18,76,6.58,1.21,1.6,3.77,88,26,23:56,07:26,79,54,44,-0.36,87,10561
2026-03-19,77,6.11,1.43,1.59,3.09,94,8,01:28,07:58,80,54,54,-0.22,93,17404
2026-03-20,69,5.08,1.16,1.23,2.69,89,16,02:05,07:48,69,60,35,0.16,93,9513
2026-03-21,82,7.59,1.83,1.42,4.34,82,8,23:24,08:41,82,57,43,0.15,88,11534
2026-03-22,50,3.33,0.82,0.47,2.04,84,5,05:53,09:50,50,64,34,0.74,93,8442
2026-03-23,49,2.94,0.82,0.8,1.32,93,4,05:17,08:27,41,70,28,0.58,89,11600
2026-03-24,73,5.71,1.47,1.4,2.84,91,10,01:53,08:10,72,59,37,0.16,90,11845
2026-03-25,69,6.38,1.13,1.27,3.98,89,14,02:02,09:11,75,59,39,0.08,87,7569
2026-03-26,76,6.58,1.34,1.53,3.71,92,7,01:33,08:41,71,58,34,-0.06,84,10197
2026-03-27,70,5.87,1.09,1.45,3.33,91,17,01:48,08:16,77,56,45,0.11,82,10827
2026-03-28,79,8.03,0.59,1.49,5.95,87,10,22:56,08:12,76,59,45,-0.17,91,18939
2026-03-29,69,5.31,0.77,0.76,3.78,90,16,01:14,07:07,73,58,48,-0.38,82,7408
2026-03-30,75,6.22,0.7,1.67,3.86,90,18,01:01,07:56,76,60,32,0.19,76,7860
2026-03-31,79,6.96,1.13,1.76,4.07,90,24,00:50,08:36,81,58,42,0.17,69,8966
2026-04-01,71,5.76,1.25,1.38,3.12,95,6,02:00,08:06,75,54,41,0,64,6543
2026-04-02,60,4.77,1.21,0.85,2.71,92,8,03:50,08:59,63,62,32,0.41,64,5950
2026-04-03,86,7.24,1.58,2.1,3.56,93,8,00:51,08:39,81,61,39,0.12,61,3596
2026-04-04,78,5.86,1.54,1.39,2.92,91,13,01:03,07:30,81,59,43,0.23,69,21365
2026-04-05,81,6.79,1.59,1.42,3.78,91,10,00:23,07:49,69,64,31,0.1,76,14932
2026-04-06,59,4.62,1.27,0.95,2.39,92,9,06:01,11:02,74,56,51,0.13,66,2342
2026-04-07,78,6.28,1.23,1.29,3.76,92,16,01:38,08:26,77,56,49,0.16,76,8111
2026-04-08,80,6.1,1.52,1.48,3.1,94,20,01:55,08:26,75,58,42,-0.26,74,6658
2026-04-09,81,6.8,1.32,1.52,3.95,94,9,01:11,08:27,79,55,46,0.12,80,14370
2026-04-10,55,3.02,1.08,0.62,1.31,93,8,05:01,08:16,64,58,40,-0.04,80,5219
2026-04-11,89,8.11,1.87,1.86,4.38,94,30,23:36,08:15,85,50,54,0.08,75,7650
2026-04-12,77,5.63,1.23,1.44,2.97,94,16,01:53,07:54,80,56,49,-0.08,63,4327
2026-04-13,84,6.83,1.66,1.62,3.54,90,16,00:10,07:47,86,54,46,0.09,68,8650
2026-04-14,81,6.04,1.32,1.59,3.12,95,14,01:44,08:07,77,55,55,-0.38,80,15252
2026-04-15,86,7.17,1.86,1.77,3.55,96,8,23:58,07:26,86,54,52,-0.16,83,20476
2026-04-16,70,4.95,1.26,1.27,2.42,89,26,02:08,07:41,76,56,48,0.06,80,13375
2026-04-17,79,5.46,1.46,1.3,2.7,88,10,01:32,07:45,81,52,58,-0.33,76,4628
2026-04-18,82,7.87,0.97,1.58,5.32,84,8,00:11,09:35,83,52,56,0.11,90,13354
2026-04-19,87,8.64,1.38,1.82,5.43,87,6,01:03,10:59,87,54,49,0.02,96,10771
2026-04-20,67,4.93,1.11,0.7,3.12,93,15,00:54,06:12,73,55,50,-0.02,89,12266
2026-04-21,61,5.39,1.25,1.03,3.11,77,8,03:28,10:26,69,58,39,0.17,78,2572
2026-04-22,65,4.76,1.07,0.97,2.73,86,11,03:10,08:42,77,53,44,0.14,93,10572
2026-04-23,73,5.27,1.23,1.41,2.62,88,12,01:36,07:35,77,56,45,-0.18,93,506
